vrefdes,vpin,refdes,pin
VCOMP0,0,X2,6
VCOMP0,1,DA1,3
VCOMP0,2,DA1,8
VCOMP0,3,DA1,28
VCOMP0,4,DA1,35
VCOMP0,5,DA1,42
VCOMP0,6,DA1,46
VCOMP0,7,DA1,49
VCOMP1,0,X1,1
VCOMP1,1,DA1,3
VCOMP1,2,DA1,8
VCOMP1,3,DA1,28
VCOMP1,4,DA1,35
VCOMP1,5,DA1,42
VCOMP1,6,DA1,46
VCOMP1,7,DA1,49
VCOMP2,0,DA1,9
VCOMP2,1,DA1,36
VCOMP2,2,X1,1
